#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -5.52034    -5.69805   0.0161577
         153     -5.4424    -5.69638   0.0161383
         154    -5.50319    -5.69513   0.0160821
         155     -5.5481    -5.69418   0.0160063
         156    -5.45455    -5.69264   0.0159773
         157    -5.53313    -5.69163   0.0159078
         158    -5.58036    -5.69092   0.0158227
         159    -5.65098    -5.69067   0.0157251
         160     -5.5934    -5.69006   0.0156386
         161    -5.71412    -5.69021   0.0155422
         162    -5.62564    -5.68981   0.0154514
         163    -5.54408    -5.68892   0.0153824
         164    -5.58819    -5.68831   0.0153009
         165    -5.58136    -5.68766   0.0152219
         166    -5.59108    -5.68708   0.0151413
         167    -5.59635    -5.68653   0.0150604
         168    -5.59466    -5.68599   0.0149806
         169    -5.58237    -5.68537   0.0149045
         170    -5.49272    -5.68424   0.0148599
         171    -5.50714     -5.6832    0.014809
         172    -5.50904    -5.68219   0.0147575
         173    -5.50003    -5.68114   0.0147097
         174    -5.47222    -5.67994   0.0146741
         175    -5.42131    -5.67846   0.0146645
         176    -5.51318    -5.67752   0.0146112
         177    -5.51218    -5.67659   0.0145585
         178    -5.58313    -5.67606   0.0144861
         179    -5.55979    -5.67541   0.0144198
         180    -5.52763    -5.67459    0.014363
         181    -5.47132    -5.67347   0.0143275
         182    -5.49893    -5.67251   0.0142808
         183    -5.45466    -5.67132   0.0142523
         184    -5.45202    -5.67013   0.0142246
         185    -5.52438    -5.66934   0.0141695
         186    -5.46411    -5.66823   0.0141362
         187    -5.45729    -5.66711   0.0141056
         188    -5.53488     -5.6664   0.0140481
         189    -5.53417     -5.6657   0.0139912
         190    -5.53639    -5.66502   0.0139341
         191    -5.57144    -5.66453   0.0138697
         192    -5.41395    -5.66323   0.0138588
         193    -5.50704    -5.66242   0.0138106
         194    -5.44994    -5.66132   0.0137827
         195    -5.48663    -5.66043   0.0137411
         196    -5.40348    -5.65912   0.0137334
         197    -5.39204    -5.65776   0.0137305
         198    -5.42387    -5.65658   0.0137118
         199    -5.45043    -5.65554    0.013682
         200    -5.41514    -5.65434   0.0136663
