Generation Loss_Best Loss_Average_Half
269 6772.04 6821.39
270 6772.04 6801.23
271 6772.04 6826.03
272 6772.04 6824.44
273 6772.04 6830.04
274 6772.04 6822.7
275 6772.04 6831.41
276 6772.04 6837.84
277 6772.04 6827.97
278 6772.04 6873.55
279 6772.04 6894.72
280 6772.04 6874.75
281 6772.04 6908.77
282 6772.04 6894.67
283 6772.04 6845.37
284 6772.04 6877.6
285 6772.04 6833.73
286 6695.48 6838.15
287 6695.48 6913.63
288 6695.48 6968.63
289 6685.73 7019.57
290 6685.73 6994.78
291 6685.73 6970.14
292 6685.73 6963.28
293 6685.73 6938.26
294 6683.6 6826.13
295 6683.6 6777.74
296 6683.6 6739.95
297 6683.6 6769.09
298 6683.6 6752.12
299 6683.6 6797.65
300 6683.6 6765.4
301 6677.44 6794.86
302 6665.55 6823.39
303 6665.55 6949.63
304 6665.55 6892.23
305 6665.55 6885.63
306 6665.55 6842.93
307 6665.55 6792.11
308 6665.55 6740.81
309 6665.55 6723.11
310 6665.55 6700.39
311 6660.03 6718.51
312 6660.03 6765.67
313 6660.03 6794.82
314 6660.03 6851.73
315 6660.03 6830.32
316 6618.5 6816.53
317 6618.5 6899.34
318 6618.5 6897.87
319 6618.5 6985.27
320 6618.5 6989.37
321 6618.5 6898.53
322 6618.5 6816.67
323 6618.5 6812.63
324 6618.5 6813.73
325 6618.5 6717.98
326 6596.62 6684.65
327 6596.62 6729.71
328 6596.62 6712.91
329 6596.62 6722.89
330 6596.62 6697.77
331 6596.62 6657.67
332 6596.62 6658.72
333 6569.83 6650.35
334 6569.83 6655.96
335 6569.83 6631.67
336 6569.83 6626.83
337 6569.83 6618.11
338 6569.83 6607.46
339 6569.83 6609.67
340 6569.83 6656.45
341 6569.83 6642.99
342 6569.83 6641.51
343 6569.83 6624.29
344 6569.83 6657.41
345 6569.83 6602.34
346 6569.83 6620.5
347 6569.83 6689.34
348 6569.83 6674.8
349 6569.83 6640.51
350 6569.83 6635.38
351 6537.84 6636
352 6537.84 6605.25
353 6537.84 6618.3
354 6537.84 6600.84
355 6537.84 6596.3
356 6537.84 6632.47
357 6537.84 6607.42
358 6537.84 6626.02
359 6534.72 6616.92
360 6534.72 6580.28
361 6534.72 6580.09
362 6534.72 6558.27
363 6534.72 6571.04
364 6534.72 6606.35
365 6534.72 6606.45
366 6512.29 6556.56
367 6512.29 6588.16
368 6512.29 6596.24
369 6492.48 6582.39
370 6492.48 6597.75
371 6492.48 6579.53
372 6492.48 6559.45
373 6492.48 6560.11
374 6492.48 6524.26
375 6492.48 6526.26
376 6363.43 6655.11
377 6363.43 6907.82
