#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.3528      1.3528           0
           2     1.34508     1.34894  0.00272973
           3     1.32824     1.34204  0.00592141
           4     1.28624     1.32809    0.012872
           5     1.31335     1.32514   0.0106298
           6     1.33309     1.32646  0.00894036
           7      1.3333     1.32744  0.00771635
           8      1.3038     1.32449  0.00729593
           9     1.32431     1.32447   0.0064853
          10      1.3248      1.3245  0.00583686
          11     1.30642     1.32286  0.00553275
          12     1.31926     1.32256  0.00507979
          13     1.34701     1.32444  0.00502513
          14     1.34238     1.32572  0.00482684
          15     1.35159     1.32744  0.00480341
          16     1.36798     1.32998  0.00512796
          17     1.36861     1.33225  0.00530604
          18     1.38243     1.33504  0.00569676
          19     1.33198     1.33488  0.00539921
          20     1.31012     1.33364  0.00526928
