# BLOCK     VELOCITY     AVE_POFV     CUM_AVG_POFV     ERROR
           1           0 0.000603307 0.000603307           0
           1    0.153475  0.00836585  0.00836585           0
           1     0.30695    0.037767    0.037767           0
           1    0.460426    0.103186    0.103186           0
           1    0.613901     0.22628     0.22628           0
           1    0.767376    0.206874    0.206874           0
           1    0.920851    0.303584    0.303584           0
           1     1.07433    0.420042    0.420042           0
           1      1.2278    0.502675    0.502675           0
           1     1.38128    0.437297    0.437297           0
           1     1.53475    0.612034    0.612034           0
           1     1.68823    0.559547    0.559547           0
           1      1.8417    0.517557    0.517557           0
           1     1.99518    0.524696    0.524696           0
           1     2.14865    0.385955    0.385955           0
           1     2.30213    0.301533    0.301533           0
           1      2.4556    0.312774    0.312774           0
           1     2.60908    0.262398    0.262398           0
           1     2.76255    0.143466    0.143466           0
           1     2.91603    0.140168    0.140168           0
           1      3.0695    0.118932    0.118932           0
           1     3.22298    0.154306    0.154306           0
           1     3.37645     0.09122     0.09122           0
           1     3.52993   0.0506576   0.0506576           0
           1      3.6834   0.0345494   0.0345494           0
           1     3.83688  0.00778266  0.00778266           0
           1     3.99035   0.0334433   0.0334433           0
           1     4.14383   0.0117444   0.0117444           0
           1     4.29731  0.00195069  0.00195069           0
           1     4.45078   0.0033383   0.0033383           0
           2           0  0.00744078  0.00402204  0.00241741
           2    0.153475   0.0362587   0.0223123  0.00986162
           2     0.30695   0.0656398   0.0517034  0.00985451
           2    0.460426    0.127619    0.115403  0.00863869
           2    0.613901    0.151671    0.188976   0.0263782
           2    0.767376    0.306098    0.256486   0.0350809
           2    0.920851    0.360234    0.331909    0.020029
           2     1.07433    0.448478     0.43426   0.0100536
           2      1.2278    0.534268    0.518472   0.0111699
           2     1.38128    0.575494    0.506395   0.0488602
           2     1.53475    0.479146     0.54559   0.0469831
           2     1.68823    0.451535    0.505541    0.038188
           2      1.8417    0.446105    0.481831    0.025262
           2     1.99518    0.366549    0.445622   0.0559133
           2     2.14865    0.371335    0.378645    0.005169
           2     2.30213    0.321945    0.311739  0.00721669
           2      2.4556    0.392411    0.352592   0.0281557
           2     2.60908    0.196598    0.229498    0.023264
           2     2.76255    0.156216    0.149841  0.00450776
           2     2.91603    0.155351     0.14776  0.00536808
           2      3.0695    0.130737    0.124834  0.00417359
           2     3.22298    0.126252    0.140279   0.0099185
           2     3.37645   0.0943974   0.0928087  0.00112339
           2     3.52993    0.104372   0.0775148   0.0189909
           2      3.6834   0.0779271   0.0562382   0.0153363
           2     3.83688   0.0117041   0.0097434  0.00138646
           2     3.99035   0.0126895   0.0230664  0.00733756
           2     4.14383  0.00565097  0.00869767  0.00215434
           2     4.29731  0.00158871   0.0017697 0.000127981
           2     4.45078           0  0.00166915  0.00118027
           3           0  0.00392149  0.00398853  0.00161184
           3    0.153475   0.0134537   0.0193594  0.00700256
           3     0.30695   0.0774646   0.0602904  0.00960828
           3    0.460426     0.12412    0.118308  0.00622874
           3    0.613901    0.184632    0.187528   0.0176252
           3    0.767376     0.32474    0.279237   0.0298672
           3    0.920851    0.478865    0.380894   0.0421662
           3     1.07433    0.447593    0.438704   0.0076217
           3      1.2278    0.461007    0.499317   0.0173223
           3     1.38128    0.476089    0.496293   0.0336015
           3     1.53475    0.486285    0.525822   0.0352363
           3     1.68823    0.423823    0.478301   0.0338053
           3      1.8417    0.321683    0.428448   0.0467272
           3     1.99518     0.35752    0.416255    0.044322
           3     2.14865    0.433858    0.397049    0.015417
           3     2.30213    0.371878    0.331785   0.0170604
           3      2.4556    0.357721    0.354302   0.0188223
           3     2.60908    0.284761    0.247919   0.0216047
           3     2.76255    0.207879    0.169187   0.0160793
           3     2.91603    0.241061     0.17886   0.0256444
           3      3.0695    0.129932    0.126534  0.00310915
           3     3.22298    0.116318    0.132292  0.00928721
           3     3.37645   0.0669268   0.0841814  0.00708385
           3     3.52993   0.0908178   0.0819491   0.0131681
           3      3.6834   0.0255601   0.0460122   0.0132004
           3     3.83688   0.0055102  0.00833233  0.00147707
           3     3.99035  0.00229257   0.0161418  0.00747634
           3     4.14383           0  0.00579845  0.00276883
           3     4.29731           0   0.0011798  0.00048915
           3     4.45078           0  0.00111277 0.000908569
           4           0 8.04409e-05  0.00301151  0.00147557
           4    0.153475   0.0386921   0.0241926  0.00671582
           4     0.30695   0.0588425   0.0599285  0.00721303
           4    0.460426     0.12778    0.120676  0.00510185
           4    0.613901    0.165648    0.182058   0.0140421
           4    0.767376     0.22996    0.266918   0.0248113
           4    0.920851    0.349677     0.37309   0.0323388
           4     1.07433    0.482806     0.44973   0.0111286
           4      1.2278    0.472268    0.492555   0.0142505
           4     1.38128    0.562724    0.512901   0.0290165
           4     1.53475    0.537607    0.528768   0.0265501
           4     1.68823    0.477779    0.478171   0.0253542
           4      1.8417     0.36134    0.411671   0.0379378
           4     1.99518    0.363834     0.40315   0.0351256
           4     2.14865    0.474179    0.416332   0.0203114
           4     2.30213    0.394462    0.347454   0.0186511
           4      2.4556    0.393999    0.364226   0.0165273
           4     2.60908    0.277642     0.25535   0.0174346
           4     2.76255    0.296284    0.200961   0.0300438
           4     2.91603    0.207015    0.185899   0.0201761
           4      3.0695   0.0941762    0.118444  0.00738347
           4     3.22298   0.0458714    0.110687    0.019965
           4     3.37645   0.0661626   0.0796767  0.00659135
           4     3.52993   0.0266058   0.0681133   0.0155277
           4      3.6834  0.00693803   0.0362436   0.0130224
           4     3.83688  0.00245345  0.00686261  0.00168739
           4     3.99035  0.00088485   0.0123276  0.00650789
           4     4.14383           0  0.00434884   0.0024266
           4     4.29731           0  0.00088485 0.000447029
           4     4.45078           0 0.000834574 0.000722762
           5           0   0.0103367  0.00447654  0.00176367
           5    0.153475   0.0279934   0.0249528   0.0054155
           5     0.30695    0.102421    0.068427   0.0095435
           5    0.460426    0.147207    0.125982  0.00625956
           5    0.613901     0.17341    0.180328   0.0113397
           5    0.767376    0.198769    0.253288   0.0232937
           5    0.920851    0.414411    0.381354   0.0269063
           5     1.07433    0.408217    0.441427   0.0115934
           5      1.2278    0.337168    0.461477   0.0300435
           5     1.38128    0.549331    0.520187   0.0241106
           5     1.53475    0.449041    0.512823   0.0255841
           5     1.68823    0.571251    0.496787   0.0262423
           5      1.8417    0.529804    0.435298   0.0369825
           5     1.99518    0.474983    0.417516   0.0308992
           5     2.14865    0.545791    0.442224   0.0282904
           5     2.30213    0.369646    0.351893   0.0154399
           5      2.4556    0.259563    0.343294   0.0229208
           5     2.60908    0.236697    0.251619   0.0143412
           5     2.76255    0.208985    0.202566   0.0240778
           5     2.91603    0.127237    0.174167   0.0192522
           5      3.0695    0.101597    0.115075  0.00663119
