#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.63382     2.63382           0
           2     2.13222     2.38302    0.177344
           3     2.06491     2.27698    0.146539
           4     1.97349     2.20111     0.12805
           5     1.99956      2.1608    0.108599
           6     1.97521     2.12987   0.0948023
           7     2.00201      2.1116   0.0830002
           8     2.01101     2.09903   0.0735713
           9     2.02027     2.09028   0.0659151
          10     2.03698     2.08495   0.0595386
          11     2.01439     2.07853   0.0544704
          12     1.96206     2.06883   0.0507887
          13     1.97321     2.06147   0.0474115
          14     1.93227     2.05224   0.0449142
          15     1.98273     2.04761   0.0421583
          16     1.96857     2.04267   0.0398118
          17     1.92937       2.036   0.0380237
          18     1.99235     2.03358   0.0359885
          19     2.01762     2.03274   0.0341042
          20      2.0292     2.03256   0.0323994
