# BLOCK     VELOCITY     AVE_POFV     CUM_AVG_POFV     ERROR
           1           0  0.00592529  0.00592529           0
           1    0.188562   0.0254035   0.0254035           0
           1    0.377124   0.0653583   0.0653583           0
           1    0.565685    0.129489    0.129489           0
           1    0.754247      0.1819      0.1819           0
           1    0.942809     0.25117     0.25117           0
           1     1.13137    0.276705    0.276705           0
           1     1.31993    0.396978    0.396978           0
           1     1.50849    0.373048    0.373048           0
           1     1.69706    0.485498    0.485498           0
           1     1.88562    0.486365    0.486365           0
           1     2.07418    0.439208    0.439208           0
           1     2.26274     0.42045     0.42045           0
           1      2.4513    0.513013    0.513013           0
           1     2.63987    0.288146    0.288146           0
           1     2.82843    0.249975    0.249975           0
           1     3.01699    0.162946    0.162946           0
           1     3.20555     0.10916     0.10916           0
           1     3.39411   0.0807444   0.0807444           0
           1     3.58267   0.0912364   0.0912364           0
           1     3.77124   0.0670115   0.0670115           0
           1      3.9598    0.072282    0.072282           0
           1     4.14836   0.0535404   0.0535404           0
           1     4.33692    0.019249    0.019249           0
           1     4.52548   0.0322781   0.0322781           0
           1     4.71405   0.0166792   0.0166792           0
           1     4.90261  0.00428847  0.00428847           0
           1     5.09117   0.0052542   0.0052542           0
           1     5.27973           0           0           0
           1     5.46829           0           0           0
           2           0  0.00417389  0.00504959 0.000619213
           2    0.188562   0.0328183   0.0291109  0.00262153
           2    0.377124   0.0952303   0.0802943   0.0105613
           2    0.565685    0.216388    0.172938   0.0307234
           2    0.754247    0.270648    0.226274   0.0313773
           2    0.942809    0.379579    0.315375   0.0453993
           2     1.13137    0.369201    0.322953   0.0327025
           2     1.31993    0.537368    0.467173   0.0496354
           2     1.50849    0.438684    0.405866    0.023206
           2     1.69706    0.442253    0.463875   0.0152894
           2     1.88562    0.488771    0.487568 0.000850694
           2     2.07418    0.418977    0.429093  0.00715278
           2     2.26274     0.38886    0.404655    0.011169
           2      2.4513    0.301191    0.407102     0.07489
           2     2.63987    0.240269    0.264208   0.0169271
           2     2.82843    0.175958    0.212967    0.026169
           2     3.01699    0.125692    0.144319   0.0131713
           2     3.20555   0.0790912   0.0941254   0.0106308
           2     3.39411   0.0703833   0.0755639  0.00366319
           2     3.58267   0.0533604   0.0722984   0.0133912
           2     3.77124   0.0666186    0.066815 0.000138889
           2      3.9598   0.0728222   0.0725521 0.000190972
           2     4.14836   0.0261728   0.0398566  0.00967593
           2     4.33692  0.00878973   0.0140194  0.00369792
           2     4.52548           0   0.0161391    0.011412
           2     4.71405           0   0.0083396  0.00589699
           2     4.90261           0  0.00214424   0.0015162
           2     5.09117           0   0.0026271  0.00185764
           2     5.27973           0           0           0
           2     5.46829           0           0           0
           3           0  0.00274986  0.00428302 0.000749781
           3    0.188562   0.0411169   0.0331129  0.00370566
           3    0.377124    0.134203   0.0982638    0.016274
           3    0.565685    0.277228    0.207702   0.0350026
           3    0.754247    0.304383    0.252311   0.0298245
           3    0.942809    0.376616    0.335788   0.0345523
           3     1.13137    0.396504     0.34747   0.0295978
