#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59457     1.59457           0
           2     1.59713     1.59585 0.000905628
           3     1.59711     1.59627 0.000693876
           4     1.59718      1.5965 0.000556343
           5     1.59722     1.59664 0.000463548
           6     1.59725     1.59674 0.000397088
           7     1.59722     1.59681 0.000346255
           8      1.5972     1.59686 0.000306323
           9     1.59722      1.5969  0.00027494
          10     1.59718     1.59693 0.000248914
          11     1.59716     1.59695  0.00022717
          12     1.59716     1.59697  0.00020891
          13     1.59718     1.59698  0.00019347
          14     1.59734     1.59701 0.000181337
          15      1.5973     1.59703 0.000170315
          16     1.59728     1.59704 0.000160368
          17      1.5973     1.59706 0.000151627
          18     1.59719     1.59707  0.00014337
          19     1.59726     1.59708 0.000136179
          20     1.59702     1.59707 0.000129397
