#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.75588     1.75588           0
           2     1.42148     1.58868     0.11823
           3     1.37661     1.51799   0.0976929
           4     1.31566     1.46741   0.0853665
           5     1.33304     1.44053   0.0723996
           6     1.31681     1.41991   0.0632015
           7     1.33467     1.40773   0.0553334
           8     1.34068     1.39935   0.0490476
           9     1.34685     1.39352   0.0439434
          10     1.35799     1.38997   0.0396924
          11     1.34293     1.38569   0.0363136
          12     1.30804     1.37922   0.0338591
          13     1.31547     1.37431   0.0316076
          14     1.28818     1.36816   0.0299428
          15     1.32182     1.36507   0.0281056
          16     1.31238     1.36178   0.0265412
          17     1.28624     1.35734   0.0253491
          18     1.32824     1.35572   0.0239923
          19     1.34508     1.35516   0.0227361
          20      1.3528     1.35504   0.0215996
