#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.03925    -1.03925           0
           2   -0.535084   -0.787168     0.17825
           3   -0.467807   -0.680714    0.147229
           4   -0.376306   -0.604612    0.128594
           5   -0.402338   -0.564157    0.109053
           6   -0.377961   -0.533125   0.0951909
           7   -0.404782    -0.51479   0.0833392
           8   -0.413816   -0.502168   0.0738714
           9   -0.423051   -0.493377   0.0661844
          10   -0.439796   -0.488019   0.0597825
          11   -0.417233   -0.481584    0.054693
          12   -0.364898    -0.47186   0.0509923
          13   -0.376031   -0.464489   0.0475996
          14   -0.334926   -0.455234   0.0450903
          15    -0.38542    -0.45058   0.0423238
          16   -0.371299   -0.445625   0.0399676
          17    -0.33207   -0.438945   0.0381707
          18   -0.395166   -0.436513   0.0361275
          19    -0.42036   -0.435663    0.034236
          20   -0.432178   -0.435489   0.0325247
