Generation Loss_Best Loss_Average_Half
267 6498.04 6580.52
268 6498.04 6561.64
269 6498.04 6563.08
270 6498.04 6563.66
271 6498.04 6558.65
272 6498.04 6550.6
273 6498.04 6568.44
274 6485.86 6561.14
275 6485.86 6571.57
276 6485.86 6558.01
277 6485.86 6566.26
278 6477.29 6553.75
279 6477.29 6540.05
280 6477.29 6544.02
281 6477.29 6548.72
282 6477.29 6532.55
283 6477.29 6531.51
284 6477.29 6532.61
285 6477.29 6533.88
286 6477.29 6544.76
287 6469.76 6537.89
288 6469.76 6549.54
289 6469.76 6554.25
290 6469.76 6535.9
291 6469.76 6522.73
292 6469.76 6532.88
293 6469.76 6546.63
294 6469.76 6534.61
295 6469.76 6526.26
296 6469.76 6530.96
297 6469.76 6536.84
298 6469.76 6525.92
299 6469.76 6519.55
300 6469.76 6519.09
301 6469.76 6526.27
302 6469.76 6540.64
303 6469.76 6558.62
304 6469.76 6523.16
305 6469.76 6522.7
306 6469.76 6509.97
307 6469.76 6525.2
308 6469.76 6528.79
309 6469.76 6544.13
310 6469.76 6515.26
311 6469.76 6538.14
312 6469.76 6554.52
313 6469.76 6531.57
314 6469.76 6528.31
315 6469.76 6519
316 6469.76 6533.08
317 6469.76 6526.33
318 6469.76 6526.65
319 6469.76 6548.45
320 6469.76 6539.58
321 6469.76 6535.69
322 6469.76 6540.49
323 6469.76 6538.31
324 6469.76 6541.18
325 6469.76 6553.05
326 6469.76 6559.29
327 6469.76 6570.7
328 6469.76 6529.53
329 6469.76 6507.42
330 6469.76 6526.72
331 6469.76 6524.38
332 6469.76 6578.52
333 6469.76 6700.84
334 6469.76 6912.7
335 6469.76 7091.5
336 6469.76 7057.36
337 6469.76 6963.43
338 6469.76 6748.86
339 6469.76 6672.29
340 6469.76 6634.24
341 6469.76 6588.26
342 6469.76 6552.9
343 6469.76 6536.56
344 6469.76 6539.19
345 6469.76 6526.85
346 6469.76 6547.66
347 6469.76 6531.96
348 6440.92 6520.49
349 6440.92 6531.58
350 6437.8 6539.3
351 6437.8 6540.13
352 6437.8 6516.36
353 6437.8 6515.72
354 6437.8 6518.75
355 6437.8 6531.04
356 6437.8 6513.76
357 6437.8 6504.8
358 6437.8 6500.8
359 6437.8 6512.06
360 6437.8 6506.99
361 6435.5 6494.27
362 6435.5 6503.74
363 6435.5 6522.41
364 6435.5 6561.3
365 6435.5 6556.24
366 6435.5 6532.11
367 6435.5 6513.31
368 6435.5 6498.8
369 6435.5 6490.22
370 6435.5 6495.08
371 6435.5 6504.26
372 6435.5 6483.43
373 6420.24 6489.87
374 6420.24 6497.48
375 6417.99 6525.46
376 6417.99 6547.73
377 6417.99 6536.76
378 6417.99 6549.91
379 6417.99 6528.38
380 6417.99 6515.52
381 6417.99 6501.32
382 6417.99 6495.6
383 6417.99 6499.06
384 6417.99 6491.58
385 6417.99 6475.55
386 6417.99 6470.24
387 6417.99 6478.68
388 6417.99 6485.4
389 6417.99 6486.02
390 6417.99 6489.55
391 6417.99 6481.93
392 6417.99 6492.61
393 6408.45 6479.64
394 6408.45 6480.37
395 6408.45 6479.01
396 6408.45 6471.84
397 6384.92 6457.97
398 6384.92 6462.52
399 6384.92 6453.43
400 6384.92 6456.4
401 6384.92 6455.39
