Generation Loss_Best Loss_Average_Half
0 42000.3 47679
1 40829.5 45673.4
2 39151.6 43776.9
3 37497.5 42088.6
4 36702.1 40344.4
5 35787.7 38776.9
6 34511.2 37350.8
7 33498.3 36238.3
8 32924.5 35134.2
9 32093.5 34212.1
10 31817 33471.2
11 30461.6 32920.8
12 29949 32269.5
13 29248.5 31420.8
14 29159.2 30521
15 28714 29917
16 28269.1 29534.7
17 27930.2 29276.8
18 27171.2 28997.9
19 26781.1 28555.8
20 26413 28051
21 26336.6 27609.1
22 25818.5 27244.5
23 25495.8 26858
24 24577.4 26333.3
25 24005.8 25958.2
26 23957.9 25379.8
27 23398.9 24903.2
28 23264.8 24558.2
29 22912.4 24117.7
30 22672.4 23789.6
31 22424.2 23466.8
32 22237.1 23193.6
33 21833.4 22929.7
34 21621.2 22831.7
35 21359.1 22597.2
36 21359.1 22437.5
37 21307.2 22215.4
38 20932 22034.4
39 20885.1 21684.5
40 20692 21471.6
41 20558 21372.1
42 20368.1 21184
43 19910.2 20979.4
44 19613.3 20739.7
45 19522.8 20419.8
46 19450.7 20179.1
47 19398.1 19941.8
48 19103.9 19791.4
49 18951 19582
50 18501.4 19454.9
51 18293.1 19348.1
52 17864.7 19214.1
53 17864.7 18825.6
54 17688.5 18533.4
55 17654.8 18322.3
56 17481.8 18134.8
57 17144.9 17900.2
58 16945.3 17755
59 16520.9 17565.1
60 16246.9 17289.1
61 16191.8 17054.3
62 15916.3 16795.8
63 15662.2 16551.4
64 15561.9 16296.6
65 15485.5 16030.3
66 15457.5 15846.5
67 15396.2 15706.2
68 15298.7 15611.2
69 14932.2 15591.2
70 14818 15519.4
71 14773.3 15475.4
72 14770.3 15313.4
73 14644.3 15209.8
74 14644.3 15164
75 14644.3 15110.3
76 14635.2 15073.3
77 14509.4 14928.3
78 14422.8 14830.1
79 14300.1 14838.1
80 14164.8 14842.9
81 14135.9 14687.3
82 14033.4 14609.7
83 13863.2 14489.8
84 13760.9 14366.8
85 13561.8 14148.9
86 13561.8 13989.6
87 13357.5 13834.1
88 13357.5 13759.2
89 13072.1 13682.6
90 12867.8 13637.6
91 12850.9 13541.3
92 12819.4 13414.8
93 12756.2 13204
94 12646.1 13109.5
95 12629.2 12991.5
96 12587.9 13052.2
97 12466.9 13011.1
98 12354.6 13001
99 12340.8 12885.7
100 12266.8 12657.8
101 12206.1 12557.6
102 12068.2 12440
103 11975 12389.5
104 11875.3 12223.1
105 11813.5 12152.3
106 11752.8 12099.3
107 11713.8 11986.3
108 11648.2 11905.6
109 11454.5 11861.3
110 11454.5 11769.8
111 11358.8 11672.3
112 11358.8 11566.4
113 11325 11504
114 11289.3 11472.1
