Generation Loss_Best Loss_Average_Half
0 43000.5 47548.6
1 40970.7 45652.2
2 39076.5 43933.6
3 38181.8 42587.9
4 36421 41012.7
5 35571.1 39585.3
6 35328.1 38021.7
7 34367.7 36743.1
8 33375.4 35752.4
9 32739 34930.2
10 32060 34129.3
11 31271.1 33378.2
12 30824.3 32706.1
13 30193 32079.3
14 29584.1 31529.1
15 29183.6 30943
16 28870.3 30332.1
17 28509.4 29808
18 27780.7 29333.5
19 27251.2 28913.8
20 26902.7 28391.6
21 26153 27805
22 25596.4 27395.9
23 25380.3 26732.1
24 24895.8 26196.6
25 24460.9 25840.9
26 24370.1 25447.4
27 23855.2 25056.5
28 23290.4 24749.3
29 23165.5 24423.7
30 23136.7 24123.3
31 22418.1 23851.5
32 21983.5 23436.9
33 21609.5 23071.6
34 21463.3 22634.4
35 21308 22189.2
36 21103.7 21842.2
37 21033.3 21671.5
38 20766.3 21562.3
39 20620.2 21386.7
40 19964.7 21234.8
41 19956.5 20993.1
42 19612.1 20712.8
43 19345.7 20485.4
44 19084.4 20193.5
45 18814.4 19939
46 18493.1 19611.4
47 18248.3 19345.1
48 18143 19132.9
49 17942.1 18871.2
50 17680.6 18628.4
51 17657.6 18394.7
52 17552.3 18189.1
53 17479 18039.5
54 17350.8 17871.1
55 17255.6 17730.6
56 17072.1 17619.2
57 16905.8 17477.5
58 16558.7 17385.1
59 16403.1 17243.4
60 16110 17066.9
61 15857.3 16834.3
62 15581.3 16530.2
63 15473.6 16278.7
64 15362.2 15995.4
65 15300.4 15823.3
66 15180.8 15631.2
67 15070.6 15539.3
68 14981.9 15491
69 14981.9 15367.2
70 14873.6 15272.5
71 14833.5 15171.2
72 14789.4 15095
73 14297.8 15048.9
74 14255.5 15013.3
75 14198.9 14933.9
76 14189.7 14762.8
77 14116 14628.8
78 14093.8 14479.4
79 13981.1 14395.7
80 13966.3 14396.8
81 13915.3 14350.6
82 13803.6 14230.1
83 13694.9 14097.6
84 13694.9 14033
85 13601.2 13876.6
86 13482.6 13812.2
87 13433.5 13733.3
88 13356.1 13690.5
89 13165.8 13590.5
90 13145.1 13544.4
91 13041.1 13527.4
92 12976.3 13457.5
93 12851.6 13386.6
94 12793.9 13290.9
95 12615.9 13152.3
96 12350.1 13049.2
97 12292.4 12912
98 12220.4 12862.2
99 12214.6 12755.7
100 12067.9 12669.7
101 11998.4 12483.2
102 11848.1 12345.3
103 11801 12234.8
104 11801 12124.9
105 11772.3 12013.1
106 11751.9 11948.2
107 11648.6 11909.1
108 11494 11871.3
109 11368.5 11815.6
110 11368.5 11775.4
111 11368.5 11732.8
112 11254.4 11568.6
113 11254.4 11480.9
114 11226.8 11500.8
115 11225 11397.8
116 11185.1 11369.1
117 11059.9 11302.5
118 11058.3 11286.2
119 11058.3 11273.6
120 10914.4 11279.1
121 10884.2 11229.5
122 10884.2 11144.7
123 10753.1 11084.2
124 10753.1 11033.6
125 10743.1 10936.6
126 10690.6 10900.1
127 10628.2 10902.3
128 10519.7 10913.3
129 10480 10865.3
130 10423.2 10797.2
131 10383.6 10689.7
132 10383.6 10609.7
133 10327.5 10541.1
134 10327.5 10538
135 10327.5 10521.8
136 10318.5 10536.6
137 10220.5 10535.5
138 10192 10477.6
139 10127 10444.4
140 10101.4 10398.8
141 10072.9 10298.2
142 10072.9 10242.6
143 10061.3 10212.7
144 9996.3 10183
145 9733.43 10181.1
146 9668.45 10174.1
147 9668.45 10129.8
148 9668.45 10021.4
149 9555.18 9865.32
150 9516.88 9813.4
151 9516.88 9708.39
152 9516.88 9678.29
153 9355.49 9585.33
154 9348.13 9581.55
155 9260.59 9553.2
156 9214.94 9490.32
157 9205.35 9424.4
158 9200.45 9382.42
159 9150.57 9346.03
160 9133.51 9310.87
161 9133.51 9278.9
162 9118.3 9301.67
163 9065.25 9286.63
164 9007.3 9255.05
165 9007.3 9169.37
166 9006.27 9129.19
167 9006.27 9121.7
168 8989.57 9078.65
169 8988.54 9092.36
170 8974.13 9096.01
171 8961.48 9069.24
172 8947.08 9073.73
173 8939.14 9080.53
174 8939.14 9042.93
175 8880.5 8986.22
176 8858.17 8990.38
177 8849.05 8980.45
178 8778.43 8931.94
179 8750.29 8895.68
180 8706.75 8950.41
181 8678.61 8903.45
182 8670.68 8865.75
183 8661.56 8775.82
184 8618.16 8811.62
185 8618.16 8762.69
186 8563.64 8763.04
187 8563.64 8718.4
188 8563.64 8704.15
189 8545.35 8694.03
190 8545.35 8680.12
191 8518.29 8702.14
192 8518.29 8747.06
193 8518.29 8743.98
194 8518.29 8713.73
195 8419.93 8684.76
196 8419.93 8641.19
197 8419.93 8596.63
198 8400.59 8503.36
199 8400.59 8486.1
200 8400.59 8466.82
201 8400.59 8439.51
202 8399.8 8452.58
203 8373.6 8462.98
204 8373.6 8422.79
205 8373.6 8438.64
206 8341.19 8443.59
207 8341.19 8430.52
208 8341.19 8440.08
209 8341.19 8454.96
210 8341.19 8428.68
211 8341.19 8393.97
212 8334 8399.73
213 8283.18 8416.56
214 8277.9 8356.83
215 8227.08 8333.95
216 8227.08 8337.55
217 8227.08 8311.67
218 8227.08 8305.49
219 8227.08 8298.79
220 8227.08 8282.57
221 8202.7 8277.88
222 8202.7 8312.46
223 8177.36 8404.85
224 8177.36 8548.21
225 8144.98 8580.57
226 8144.98 8497.73
227 8144.98 8435.71
228 8144.28 8428.28
229 8111.25 8434.9
230 8084.22 8361.81
231 8082.28 8282.92
232 8047.12 8204.06
233 8045.18 8237.74
234 8045.18 8153.55
235 8044.49 8153.63
236 8044.08 8145.01
237 8044.08 8107.81
238 8013.39 8115.44
239 8012.98 8108.78
240 8012.98 8083.51
241 8012.98 8075.33
242 7964.57 8122.43
243 7964.57 8134.77
244 7964.57 8233.61
245 7964.57 8305.7
246 7924.64 8304.18
247 7924.64 8241.24
248 7912.15 8142.22
249 7898.54 8055.52
250 7886.05 8019.78
251 7886.05 8034.97
252 7883.14 8005.83
253 7801.79 7981.38
254 7774.18 8045.53
255 7774.18 8294.73
256 7774.18 8296.35
257 7774.18 8292.64
258 7774.18 8202.9
259 7774.18 8120.67
260 7774.18 7989.86
