Generation Loss_Best Loss_Average_Half
0 41172.6 47672
1 40286.6 45384.8
2 38462.4 43198.7
3 36567 41659.9
4 35953.2 40191.6
5 35576.2 38641.3
6 35113.5 36920.6
7 34081.6 36179.9
8 33552.4 35508.6
9 33131.9 34915.3
10 32194.1 34342.2
11 31979.9 33648.4
12 31289.9 32994.8
13 30748.4 32429.6
14 30048.6 31794.1
15 29749.3 31157.7
16 28752.8 30802.7
17 28154.3 30312.9
18 27705.7 29752
19 27289.7 29008.8
20 26705.3 28353
21 26227.1 27846.1
22 25865.9 27371.7
23 25478.3 26967
24 25199 26511.7
25 24529.2 26090.9
26 24217.8 25652.3
27 23763.5 25159.9
28 23412 24719.7
29 23273.1 24297.4
30 23082.5 23900.2
31 22760.7 23583.5
32 22325.5 23364.8
33 22257.3 23131
34 21973.3 22810.2
35 21700.6 22567.5
36 21294.5 22373.4
37 21228.1 22103.1
38 20898.7 21837.6
39 20815.9 21672.7
40 20697.4 21479.5
41 20614.6 21222.5
42 20096.7 21039.9
43 20040.5 20870.1
44 19684.1 20660
45 19413.1 20388.4
46 19341.9 20276.4
47 19168.5 20138.1
48 19168.5 19996.1
49 19093.1 19869.8
50 19046 19687.7
51 18855.2 19457.5
52 18733.3 19306.7
53 18252.7 19213.4
54 18069.3 18988.5
55 17727.7 18815.6
56 17605.4 18553
57 17353.6 18231.6
58 17158.1 18015.7
59 17152 17884.2
60 17079 17685.1
61 16953.8 17545.9
62 16638 17459.2
63 16526.1 17353.5
64 16450.9 17205.6
65 16246 17086.3
66 16246 16953.3
67 16186.9 16849.8
68 15951.5 16792
69 15805.5 16676.4
70 15714.8 16507.3
71 15714.8 16287.6
72 15631.7 16106.6
73 15487.1 15949.2
74 15468.9 15817.4
75 15425.4 15727.8
76 15387.7 15608.4
77 15078.8 15574.1
78 14969.3 15450.4
79 14618.6 15387.1
80 14609 15221.4
81 14608.2 15196.9
82 14491.9 15053.2
83 14463 14898.2
84 14334.9 14816.2
85 14256.6 14740.3
86 14167.2 14638
87 14088.9 14597
88 14019.3 14445.9
89 13799.6 14299.7
90 13618.2 14216.7
91 13495.4 14040.4
92 13445.3 13889
93 13405.2 13823.2
94 13349.3 13724.8
95 13109.9 13626.1
96 13069.8 13517.2
97 13013.9 13483.7
98 13013.9 13394.2
99 12739.8 13328.9
100 12710.8 13208.3
101 12681.5 13117.4
102 12652.4 13015.1
103 12630 12942.5
104 12615.8 12839.3
105 12562.4 12837.1
106 12418.1 12818.2
107 12139.1 12738.2
108 11927.3 12655.4
109 11922.5 12491.8
110 11737.5 12320.7
111 11737.5 12168.7
112 11725.9 12080
113 11536.8 11993.1
114 11490.2 11933.2
115 11310.3 11829.8
116 11212.9 11698.4
117 11078.6 11664.3
118 10984.7 11536
119 10938.1 11323.1
120 10859.1 11226.5
121 10789.8 11121.5
122 10761.6 11086.3
123 10612.5 11032.9
124 10612.5 10941.6
125 10612.5 10828.4
126 10566.3 10781.7
127 10560.1 10773
128 10513.6 10724.5
129 10461.2 10693.9
130 10412.7 10656.6
131 10364.7 10614.1
132 10338.9 10585.5
133 10317.8 10515.2
134 10291.8 10468.1
135 10229.5 10433.3
136 10157.6 10416.6
137 10095.3 10314.3
138 10095.3 10282.5
139 10036.5 10253
140 9974.15 10227
141 9974.15 10203.5
142 9955.02 10161.7
143 9814.79 10129.9
144 9814.79 10071
145 9814.79 10024.6
146 9763.59 9962
147 9763.59 9943.11
148 9641.76 9920.04
149 9590.56 9877.87
150 9569.9 9796.48
151 9569.9 9717.18
152 9569.9 9719.87
153 9569.9 9670.52
154 9567.55 9660.22
155 9542.29 9657.89
156 9539.94 9631.31
157 9539.94 9683.16
158 9519.84 9626.21
159 9470.89 9642.69
160 9470.89 9593.56
161 9446.58 9609.65
162 9359.65 9634.72
163 9306.66 9568.61
164 9261.21 9495.96
165 9251.01 9420.38
166 9251.01 9363.32
167 9193.76 9321.65
168 9193.76 9299.53
169 9193.76 9275.12
170 9161.99 9234.96
171 9161.99 9239.38
172 9009.71 9249.28
173 9000.41 9260.74
174 8893.55 9240.85
