Generation Loss_Best Loss_Average_Half
269 7638.28 7680.81
270 7638.28 7711.28
271 7638.28 7725.67
272 7638.28 7727.38
273 7638.28 7718.41
274 7638.28 7734.49
275 7638.28 7728.62
276 7638.28 7718.12
277 7638.28 7737.35
278 7638.28 7704.57
279 7638.28 7692.61
280 7623.72 7683.35
281 7618.02 7824.29
282 7618.02 8049.21
283 7618.02 8151.58
284 7618.02 8077.52
285 7618.02 7966.73
286 7618.02 7872.65
287 7618.02 7742.49
288 7618.02 7694.62
289 7618.02 7685.82
290 7618.02 7655.61
291 7618.02 7684.78
292 7618.02 7672.33
293 7618.02 7680.88
294 7618.02 7683.66
295 7618.02 7672.97
296 7618.02 7634.76
297 7618.02 7684.67
298 7618.02 7681.82
299 7618.02 7679.66
300 7618.02 7679.46
301 7618.02 7642.19
302 7618.02 7653.09
303 7601.48 7646.75
304 7601.48 7653.68
305 7601.48 7652.91
306 7601.48 7648.14
307 7563.69 7671.04
308 7563.69 7635.38
309 7563.69 7678.32
310 7563.69 7691.39
311 7563.69 7676.05
312 7563.69 7638.27
313 7563.69 7637.6
314 7563.69 7611.23
315 7563.69 7633.79
316 7563.69 7645.56
317 7563.69 7632.47
318 7563.69 7611.87
319 7563.69 7609.22
320 7559.35 7604.86
321 7559.35 7595.93
322 7559.35 7579.99
323 7559.35 7599.22
324 7559.35 7609.75
325 7559.35 7605.28
326 7559.35 7588.49
327 7559.35 7591.74
328 7559.35 7591.8
329 7559.35 7633.06
330 7559.35 7632.07
331 7559.35 7641.15
332 7535.04 7643.14
333 7535.04 7625.9
334 7535.04 7604.66
335 7535.04 7610.04
336 7535.04 7666.37
337 7533.97 7659
338 7533.97 7653.98
339 7533.97 7625.59
340 7533.97 7632.38
341 7533.97 7621.18
342 7514.33 7641.6
343 7514.33 7659.77
344 7514.33 7585.92
345 7514.33 7597.76
346 7514.33 7594.46
347 7514.33 7573.11
348 7499 7593.37
349 7498.79 7645.55
350 7450.55 7685.83
351 7450.55 7694.1
352 7450.55 7671.94
353 7450.55 7580
354 7450.55 7559.51
355 7450.55 7561.21
356 7450.55 7573.88
357 7450.55 7556.95
358 7450.55 7545.34
359 7448.79 7530.99
360 7448.79 7519.58
361 7448.79 7516.51
362 7448.79 7544.56
363 7448.79 7494.9
364 7422.97 7504.74
365 7419.59 7513.48
366 7419.59 7483.98
367 7419.59 7499.73
368 7419.59 7493.84
369 7419.59 7483.99
370 7419.59 7471.11
371 7419.59 7520.4
372 7419.59 7491.85
373 7419.59 7482.99
374 7419.59 7449.52
375 7419.59 7479.21
376 7419.59 7505.59
377 7401.79 7496.76
378 7401.79 7504.47
379 7401.79 7450.14
380 7401.79 7444.82
381 7385.78 7455.61
