#   T:  ACCEPTANCE:
           2    0.537854
         1.9    0.517521
         1.8    0.495262
         1.7     0.47132
         1.6    0.445438
         1.5    0.417264
         1.4    0.386618
         1.3    0.353368
         1.2    0.317658
         1.1    0.279252
           1     0.23841
         0.9     0.19545
         0.8    0.151912
         0.7    0.108202
         0.6    0.064587
         0.5    0.025563
