# BLOCK:    DISTANCE:    GOFR_ISTANT:      CUM_AVE_GOFR:        ERROR:
           2     1.79547    0.885035    0.895731  0.00756295
           2     1.82112    0.936744    0.943993  0.00512588
           2     1.84677     0.98059    0.979832 0.000535991
           2     1.87242     1.02814     1.03296  0.00340765
           2     1.89807     1.05324     1.06995   0.0118139
           2     1.92372     1.07581     1.09257   0.0118483
           2     1.94937     1.12339      1.1341   0.0075706
           2     1.97502     1.16089     1.16864  0.00548097
           2     2.00067     1.17518     1.18661  0.00807908
           2     2.02632     1.21094     1.21647  0.00391413
           2     2.05197     1.21747     1.22181   0.0030671
           2     2.07762     1.21527     1.21965  0.00309107
           2     2.10327     1.20724        1.21  0.00195058
           2     2.12892     1.20047     1.20235    0.001334
           2     2.15457     1.18061      1.1842  0.00253497
           2     2.18022     1.15035     1.14448  0.00415485
           2     2.20587     1.13656     1.12764  0.00630306
           2     2.23152     1.09683     1.09298  0.00271697
           2     2.25717     1.07111     1.05615   0.0105744
           2     2.28282     1.04394      1.0307  0.00936138
           2     2.30847     1.00992     1.00414  0.00409012
           2     2.33412    0.994537    0.985521  0.00637519
           2     2.35977    0.965126    0.952317  0.00905719
           2     2.38542    0.952895    0.942101  0.00763282
           2     2.41107    0.926515    0.926173 0.000242013
           2     2.43672     0.91327    0.909075  0.00296637
           2     2.46237    0.911074    0.903607  0.00527993
           2     2.48802    0.893365    0.893463 6.90166e-05
           2     2.51366    0.896459    0.886153   0.0072873
           2     2.53931    0.890427    0.879517   0.0077146
           3           0           0           0           0
           3   0.0256496           0           0           0
           3   0.0512993           0           0           0
           3   0.0769489           0           0           0
           3    0.102599           0           0           0
           3    0.128248           0           0           0
           3    0.153898           0           0           0
           3    0.179547           0           0           0
           3    0.205197           0           0           0
           3    0.230847           0           0           0
           3    0.256496           0           0           0
           3    0.282146           0           0           0
           3    0.307796           0           0           0
           3    0.333445           0           0           0
           3    0.359095           0           0           0
           3    0.384745           0           0           0
           3    0.410394           0           0           0
           3    0.436044           0           0           0
           3    0.461694           0           0           0
           3    0.487343           0           0           0
           3    0.512993           0           0           0
           3    0.538642           0           0           0
           3    0.564292           0           0           0
           3    0.589942           0           0           0
           3    0.615591           0           0           0
           3    0.641241           0           0           0
           3    0.666891           0           0           0
           3     0.69254           0           0           0
           3     0.71819           0           0           0
           3     0.74384           0           0           0
           3    0.769489           0           0           0
           3    0.795139           0           0           0
           3    0.820788           0           0           0
           3    0.846438           0           0           0
           3    0.872088 0.000550231  0.00146728 0.000376873
           3    0.897737   0.0243379   0.0230099 0.000848946
           3    0.923387    0.154113    0.166266  0.00738133
           3    0.949037    0.546446    0.566084   0.0114522
           3    0.974686     1.19379      1.2132   0.0142033
           3     1.00034      1.8244     1.84291  0.00777366
           3     1.02599     2.29655     2.31933   0.0209245
           3     1.05164     2.57243     2.55348  0.00776823
           3     1.07728     2.54647     2.54647 0.000826145
           3     1.10293     2.40034     2.38729  0.00533639
           3     1.12858     2.23663     2.21667   0.0154011
           3     1.15423     1.99735     1.97952   0.0076753
           3     1.17988       1.784     1.77392  0.00537797
           3     1.20553     1.56676     1.57192  0.00843205
           3     1.23118     1.40291     1.38636  0.00711583
           3     1.25683     1.24924     1.25725  0.00571904
           3     1.28248     1.12993     1.13133   0.0027436
           3     1.30813     1.02619     1.02877  0.00616318
           3     1.33378     0.93634    0.938914  0.00241555
           3     1.35943     0.86799    0.866731  0.00401509
           3     1.38508    0.815189     0.81514  0.00216561
           3     1.41073    0.776439     0.77521  0.00585174
           3     1.43638    0.746497    0.736421  0.00634869
           3     1.46203    0.712868    0.709302  0.00292484
           3     1.48768    0.698274    0.692097  0.00760974
           3     1.51333     0.67944     0.67871  0.00316088
           3     1.53898    0.669214     0.66815 0.000499089
           3     1.56463    0.665954    0.662645  0.00395224
           3     1.59028    0.668512    0.671977  0.00182892
           3     1.61593     0.68184    0.686487  0.00302374
           3     1.64158    0.694447    0.689479  0.00216388
           3     1.66723    0.708313    0.713486  0.00419298
           3     1.69288    0.741623    0.746922  0.00246742
           3     1.71853    0.779228     0.77363  0.00614949
           3     1.74418     0.80638    0.816733  0.00601668
           3     1.76983    0.853693     0.84909  0.00352088
           3     1.79547    0.886111    0.892524  0.00568118
           3     1.82112    0.931022    0.939669  0.00491338
           3     1.84677    0.974567    0.978077   0.0014767
           3     1.87242     1.01147      1.0258  0.00627431
           3     1.89807     1.05387     1.06459  0.00900989
           3     1.92372     1.09452     1.09322  0.00791672
           3     1.94937     1.13958     1.13593  0.00526312
           3     1.97502     1.15255     1.16328  0.00570404
           3     2.00067     1.17887     1.18403  0.00578346
           3     2.02632     1.21054     1.21449  0.00306859
           3     2.05197     1.21902     1.22088  0.00218097
           3     2.07762     1.21455     1.21795  0.00248376
           3     2.10327     1.22142     1.21381  0.00336895
           3     2.12892     1.20414     1.20295  0.00101437
           3     2.15457     1.19544     1.18795  0.00349589
           3     2.18022     1.15707     1.14867  0.00440723
           3     2.20587     1.13393     1.12974  0.00453716
           3     2.23152     1.10743      1.0978  0.00432984
           3     2.25717     1.06893     1.06041  0.00786104
           3     2.28282     1.03947     1.03362  0.00668171
           3     2.30847     1.00783     1.00537  0.00290598
           3     2.33412    0.986806     0.98595  0.00426448
           3     2.35977    0.958874    0.954503  0.00629637
           3     2.38542    0.949287    0.944496  0.00545145
           3     2.41107    0.924193    0.925513 0.000562575
           3     2.43672    0.906208    0.908119  0.00212591
           3     2.46237    0.904896    0.904037  0.00353741
           3     2.48802    0.888095    0.891674  0.00146177
           3     2.51366    0.888099    0.886802    0.004887
           3     2.53931    0.879181    0.879405  0.00514388
           4           0           0           0           0
           4   0.0256496           0           0           0
           4   0.0512993           0           0           0
           4   0.0769489           0           0           0
           4    0.102599           0           0           0
           4    0.128248           0           0           0
           4    0.153898           0           0           0
           4    0.179547           0           0           0
           4    0.205197           0           0           0
           4    0.230847           0           0           0
           4    0.256496           0           0           0
           4    0.282146           0           0           0
           4    0.307796           0           0           0
           4    0.333445           0           0           0
           4    0.359095           0           0           0
           4    0.384745           0           0           0
           4    0.410394           0           0           0
           4    0.436044           0           0           0
           4    0.461694           0           0           0
           4    0.487343           0           0           0
           4    0.512993           0           0           0
           4    0.538642           0           0           0
           4    0.564292           0           0           0
           4    0.589942           0           0           0
           4    0.615591           0           0           0
           4    0.641241           0           0           0
           4    0.666891           0           0           0
           4     0.69254           0           0           0
           4     0.71819           0           0           0
           4     0.74384           0           0           0
           4    0.769489           0           0           0
           4    0.795139           0           0           0
           4    0.820788           0           0           0
           4    0.846438           0           0           0
           4    0.872088 0.000641936  0.00126095 0.000334402
           4    0.897737   0.0251174   0.0235368 0.000783331
           4    0.923387    0.171728    0.167631   0.0056609
           4    0.949037    0.565851    0.566025  0.00858932
           4    0.974686     1.20667     1.21157   0.0107459
           4     1.00034     1.86246      1.8478  0.00720366
           4     1.02599     2.35484     2.32821   0.0174758
           4     1.05164     2.56869     2.55728  0.00669253
           4     1.07728     2.51716     2.53914  0.00637584
           4     1.10293     2.42451     2.39659  0.00899874
           4     1.12858     2.20477      2.2137    0.011835
           4     1.15423     1.98549     1.98101  0.00590007
           4     1.17988     1.75749     1.76981  0.00537706
           4     1.20553     1.59192     1.57692  0.00766403
           4     1.23118     1.40185     1.39023  0.00630241
           4     1.25683     1.26109     1.25821  0.00436936
           4     1.28248     1.13541     1.13235  0.00223933
           4     1.30813     1.01565     1.02549  0.00542487
           4     1.33378    0.940181    0.939231  0.00183232
           4     1.35943    0.866503    0.866674  0.00301172
           4     1.38508    0.793396    0.809704  0.00497997
           4     1.41073    0.767792    0.773356  0.00467346
           4     1.43638    0.723587    0.733212    0.005513
           4     1.46203    0.695105    0.705753  0.00377616
           4     1.48768     0.67416    0.687612  0.00690316
           4     1.51333    0.649285    0.671354  0.00679752
           4     1.53898    0.666112    0.667641 0.000578601
           4     1.56463    0.663472    0.662852  0.00296958
           4     1.59028    0.662001    0.669483  0.00255865
           4     1.61593    0.685657     0.68628  0.00227492
           4     1.64158    0.703998    0.693109  0.00353758
           4     1.66723    0.717727    0.714547  0.00327601
           4     1.69288     0.73834    0.744777  0.00262236
           4     1.71853    0.785433     0.77658  0.00527276
           4     1.74418    0.825968    0.819041  0.00493569
           4     1.76983    0.857941    0.851303  0.00326273
           4     1.79547    0.896016    0.893397  0.00432744
           4     1.82112    0.953762    0.943193  0.00478422
           4     1.84677    0.984099    0.979582  0.00171079
           4     1.87242     1.02172     1.02478  0.00478799
           4     1.89807     1.05546     1.06231  0.00704033
           4     1.92372     1.10879     1.09711  0.00682761
           4     1.94937     1.14887     1.13916  0.00484109
           4     1.97502     1.17483     1.16616  0.00495557
           4     2.00067     1.18146     1.18339  0.00437326
           4     2.02632     1.21498     1.21461  0.00230382
           4     2.05197     1.20764     1.21757  0.00330146
           4     2.07762     1.22178     1.21891  0.00203945
           4     2.10327     1.20764     1.21227  0.00285749
           4     2.12892     1.19253     1.20034  0.00238118
           4     2.15457     1.17687     1.18518  0.00355354
           4     2.18022     1.14739     1.14835    0.003317
           4     2.20587     1.12474     1.12849  0.00357086
           4     2.23152     1.09071     1.09603  0.00359197
           4     2.25717     1.06351     1.06119  0.00593383
           4     2.28282      1.0376     1.03462   0.0050848
           4     2.30847     1.00605     1.00554  0.00218458
           4     2.33412     0.97721    0.983765  0.00371619
           4     2.35977    0.964143    0.956913    0.005163
           4     2.38542    0.936588    0.942519   0.0044326
           4     2.41107    0.929706    0.926561  0.00100101
           4     2.43672    0.912181    0.909135  0.00182083
           4     2.46237    0.908272    0.905096  0.00280707
           4     2.48802    0.894054    0.892269  0.00121146
           4     2.51366    0.889258    0.887416  0.00370363
           4     2.53931     0.88218    0.880099  0.00390441
           5           0           0           0           0
           5   0.0256496           0           0           0
           5   0.0512993           0           0           0
           5   0.0769489           0           0           0
           5    0.102599           0           0           0
           5    0.128248           0           0           0
           5    0.153898           0           0           0
           5    0.179547           0           0           0
           5    0.205197           0           0           0
           5    0.230847           0           0           0
           5    0.256496           0           0           0
           5    0.282146           0           0           0
           5    0.307796           0           0           0
           5    0.333445           0           0           0
           5    0.359095           0           0           0
           5    0.384745           0           0           0
           5    0.410394           0           0           0
           5    0.436044           0           0           0
           5    0.461694           0           0           0
           5    0.487343           0           0           0
           5    0.512993           0           0           0
           5    0.538642           0           0           0
           5    0.564292           0           0           0
           5    0.589942           0           0           0
           5    0.615591           0           0           0
           5    0.641241           0           0           0
           5    0.666891           0           0           0
           5     0.69254           0           0           0
           5     0.71819           0           0           0
           5     0.74384           0           0           0
           5    0.769489           0           0           0
           5    0.795139           0           0           0
           5    0.820788           0           0           0
           5    0.846438           0           0           0
           5    0.872088  0.00110046  0.00122885 0.000269058
           5    0.897737   0.0241647   0.0236624 0.000636653
           5    0.923387     0.16501    0.167107  0.00455294
           5    0.949037    0.565928    0.566006  0.00687148
           5    0.974686     1.19938     1.20913  0.00886883
           5     1.00034     1.87246     1.85273  0.00725755
           5     1.02599     2.36117      2.3348   0.0151729
           5     1.05164     2.59366     2.56456  0.00842714
           5     1.07728     2.56484     2.54428   0.0068666
           5     1.10293     2.43057     2.40339  0.00942161
           5     1.12858      2.1997      2.2109  0.00979365
           5     1.15423     1.97452     1.97971  0.00486053
           5     1.17988     1.74785     1.76542  0.00582543
           5     1.20553     1.55428     1.57239  0.00734822
           5     1.23118     1.37697     1.38758  0.00557204
           5     1.25683     1.23485     1.25354  0.00544726
           5     1.28248     1.11042     1.12797  0.00431364
           5     1.30813     1.01306       1.023  0.00487629
           5     1.33378    0.922241    0.935833  0.00337426
           5     1.35943    0.857083    0.864756  0.00295786
           5     1.38508    0.801665    0.808096  0.00423558
           5     1.41073    0.759712    0.770627  0.00446486
           5     1.43638    0.731622    0.732894  0.00441957
           5     1.46203     0.70808    0.706218  0.00304948
           5     1.48768    0.684845    0.687059  0.00554466
           5     1.51333    0.655637    0.668211  0.00612184
           5     1.53898    0.671093    0.668331  0.00077173
           5     1.56463    0.670947    0.664471  0.00278225
           5     1.59028    0.673402    0.670267  0.00216365
           5     1.61593    0.685982     0.68622  0.00182072
           5     1.64158    0.693319    0.693151  0.00283031
           5     1.66723     0.72592    0.716821   0.0033178
           5     1.69288    0.765566    0.748935  0.00426991
           5     1.71853    0.787589    0.778782  0.00465525
           5     1.74418    0.814267    0.818086  0.00403988
           5     1.76983    0.874664    0.855975  0.00492721
           5     1.79547    0.903198    0.895358  0.00388057
           5     1.82112    0.954253    0.945405  0.00430854
           5     1.84677     1.00167       0.984  0.00418121
           5     1.87242     1.04455     1.02873  0.00521356
           5     1.89807     1.07692     1.06523  0.00620931
           5     1.92372     1.10867     1.09942  0.00584054
           5     1.94937      1.1347     1.13827  0.00395446
           5     1.97502     1.17278     1.16749  0.00413708
           5     2.00067      1.1766     1.18203  0.00370313
           5     2.02632     1.19627     1.21095  0.00376332
           5     2.05197     1.21611     1.21728  0.00265407
           5     2.07762     1.22295     1.21971  0.00178465
           5     2.10327     1.19938     1.20969  0.00324599
           5     2.12892     1.18852     1.19798  0.00284655
           5     2.15457     1.17681      1.1835  0.00321303
           5     2.18022     1.15146     1.14897  0.00271101
           5     2.20587     1.12195     1.12718  0.00308668
           5     2.23152     1.08253     1.09333   0.0037538
           5     2.25717     1.05986     1.06092    0.004753
           5     2.28282      1.0244     1.03257  0.00445982
           5     2.30847    0.992354      1.0029  0.00293547
           5     2.33412    0.971408    0.981293  0.00370468
           5     2.35977    0.946091    0.954748  0.00456155
           5     2.38542    0.932105    0.940436  0.00400561
           5     2.41107    0.915184    0.924286  0.00218706
           5     2.43672    0.907896    0.908887  0.00147342
           5     2.46237    0.893198    0.902716  0.00309401
           5     2.48802    0.885615    0.890938    0.001535
           5     2.51366    0.880494    0.886031  0.00321125
           5     2.53931    0.885212    0.881121   0.0032547
           6           0           0           0           0
           6   0.0256496           0           0           0
           6   0.0512993           0           0           0
           6   0.0769489           0           0           0
           6    0.102599           0           0           0
           6    0.128248           0           0           0
           6    0.153898           0           0           0
           6    0.179547           0           0           0
           6    0.205197           0           0           0
           6    0.230847           0           0           0
           6    0.256496           0           0           0
           6    0.282146           0           0           0
           6    0.307796           0           0           0
           6    0.333445           0           0           0
           6    0.359095           0           0           0
           6    0.384745           0           0           0
           6    0.410394           0           0           0
           6    0.436044           0           0           0
           6    0.461694           0           0           0
           6    0.487343           0           0           0
           6    0.512993           0           0           0
           6    0.538642           0           0           0
           6    0.564292           0           0           0
           6    0.589942           0           0           0
           6    0.615591           0           0           0
           6    0.641241           0           0           0
           6    0.666891           0           0           0
           6     0.69254           0           0           0
           6     0.71819           0           0           0
           6     0.74384           0           0           0
           6    0.769489           0           0           0
           6    0.795139           0           0           0
           6    0.820788           0           0           0
           6    0.846438           0           0           0
           6    0.872088 0.000641936  0.00113103 0.000241342
           6    0.897737   0.0280622   0.0243957 0.000854167
           6    0.923387    0.173612    0.168191  0.00392109
           6    0.949037    0.544039    0.562345  0.00663019
           6    0.974686     1.21308     1.20979  0.00741505
           6     1.00034     1.81348     1.84619  0.00849905
           6     1.02599     2.35491     2.33815    0.013009
           6     1.05164     2.57129     2.56568  0.00709689
           6     1.07728     2.53801     2.54324  0.00580121
           6     1.10293     2.39867      2.4026  0.00788409
           6     1.12858     2.22715      2.2136  0.00852764
           6     1.15423     1.97046     1.97817  0.00428788
           6     1.17988     1.78263     1.76829  0.00551599
           6     1.20553     1.55946     1.57024  0.00643206
           6     1.23118     1.41382     1.39195   0.0061234
           6     1.25683     1.25909     1.25446  0.00461728
           6     1.28248     1.13516     1.12916   0.0037575
           6     1.30813      1.0308      1.0243   0.0042331
           6     1.33378    0.939112    0.936379   0.0028558
           6     1.35943    0.880537    0.867386  0.00344099
           6     1.38508    0.816622    0.809517  0.00376047
           6     1.41073     0.77573    0.771478  0.00380086
           6     1.43638    0.719518    0.730665   0.0042079
           6     1.46203     0.70019    0.705213   0.0027017
           6     1.48768    0.677605    0.685483  0.00483926
           6     1.51333    0.668124    0.668196  0.00510155
           6     1.53898    0.646877    0.664755   0.0033269
           6     1.56463    0.656344    0.663116  0.00262765
           6     1.59028    0.662615    0.668991  0.00214617
           6     1.61593    0.671986    0.683848  0.00264425
           6     1.64158    0.692059    0.692969  0.00236443
           6     1.66723     0.71129    0.715899  0.00289007
           6     1.69288    0.755027     0.74995  0.00367699
           6     1.71853    0.776856    0.778461  0.00389043
           6     1.74418    0.809056    0.816581  0.00363616
           6     1.76983    0.844517    0.854065  0.00446073
           6     1.79547    0.891141    0.894655  0.00329683
           6     1.82112    0.948232    0.945876  0.00361612
           6     1.84677     0.98196     0.98366  0.00349813
           6     1.87242     1.03863     1.03038  0.00459817
           6     1.89807     1.06825     1.06573  0.00519474
           6     1.92372     1.11762     1.10246  0.00559909
           6     1.94937     1.15712     1.14141  0.00436823
