#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    0.863468    0.863468           0
           2    0.855909    0.859689  0.00267276
           3    0.841077    0.853485  0.00536972
           4    0.842979    0.850858  0.00462519
           5    0.849741    0.850635  0.00370555
           6    0.842295    0.849245  0.00333851
           7     0.83643    0.847414  0.00332582
           8    0.834644    0.845818   0.0032708
           9    0.846643     0.84591  0.00290866
          10    0.844869    0.845806  0.00261966
          11    0.845377    0.845767   0.0023818
          12    0.831123    0.844546  0.00247627
          13    0.828235    0.843292  0.00258417
          14    0.834477    0.842662   0.0024751
          15     0.84638     0.84291  0.00232248
          16    0.839978    0.842727  0.00218454
          17    0.834419    0.842238  0.00210998
          18    0.834718     0.84182   0.0020337
          19    0.843773    0.841923  0.00192926
          20    0.836089    0.841631  0.00185472
