#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.56525    -5.56525           0
           2    -5.55784    -5.56155  0.00261783
           3    -5.54299    -5.55536  0.00534263
           4    -5.54476    -5.55271  0.00461728
           5    -5.55113     -5.5524  0.00370463
           6    -5.54335    -5.55089  0.00338036
           7    -5.53657    -5.54884   0.0034617
           8    -5.53509    -5.54712  0.00342928
           9    -5.54872     -5.5473  0.00305282
          10    -5.54641    -5.54721  0.00274882
          11    -5.54842    -5.54732  0.00250111
          12    -5.53107    -5.54597  0.00263404
          13    -5.52966    -5.54471  0.00271356
          14    -5.53603    -5.54409  0.00258962
          15    -5.54763    -5.54433   0.0024277
          16    -5.54141    -5.54415  0.00228279
          17     -5.5351    -5.54361   0.0022097
          18    -5.53503    -5.54314  0.00213779
          19    -5.54493    -5.54323  0.00202736
          20    -5.53768    -5.54295  0.00194487
