Best path for every generation
1 7 13 17 5 14 21 8 19 3 20 34 18 28 29 32 9 11 23 15 30 10 12 25 27 6 31 26 22 16 2 4 33 24 
1 7 13 10 12 22 4 2 16 25 33 27 31 6 26 32 9 11 23 15 30 17 5 14 21 8 19 3 20 34 18 28 29 24 
1 21 30 4 8 32 9 28 25 20 26 16 34 6 27 33 7 12 10 19 14 2 22 13 23 29 11 24 17 15 31 5 18 3 
1 7 13 26 32 9 11 23 15 30 17 5 14 21 8 19 3 10 12 22 4 2 16 25 33 27 31 6 20 34 18 28 29 24 
1 7 32 9 11 23 15 30 17 5 14 21 8 19 10 12 13 3 26 22 4 2 16 25 33 27 31 6 20 34 18 28 29 24 
1 7 32 9 11 23 15 30 17 5 14 21 8 19 10 12 13 3 26 22 4 2 16 25 33 27 31 6 20 34 18 28 29 24 
1 8 19 10 12 13 3 26 22 5 14 21 7 32 9 11 23 15 30 17 4 2 16 25 33 27 31 6 20 34 18 28 29 24 
1 2 4 17 30 15 23 11 9 5 25 8 19 10 12 13 3 26 22 14 21 7 32 16 33 27 31 6 20 34 18 28 29 24 
1 15 5 14 21 8 19 10 12 13 32 3 26 22 7 9 11 28 18 34 20 6 31 27 33 25 16 2 4 17 30 23 29 24 
1 2 15 5 14 21 8 19 10 12 13 32 3 26 22 7 9 11 28 18 34 20 6 31 27 33 25 16 4 17 30 23 29 24 
1 2 15 5 14 21 8 19 10 12 13 32 3 26 22 7 9 11 23 30 17 4 28 25 31 27 33 6 20 34 18 16 29 24 
1 2 15 23 14 21 8 19 10 12 13 32 3 26 22 7 9 11 5 30 17 4 28 25 31 27 33 6 20 34 18 16 29 24 
1 2 15 23 14 21 8 19 10 12 13 32 3 26 22 7 9 11 5 30 17 4 28 25 31 27 33 6 16 20 34 18 29 24 
1 2 15 23 14 21 8 19 10 12 13 32 3 26 22 7 9 11 5 30 17 4 28 25 31 27 18 33 6 20 34 16 29 24 
1 2 4 17 30 15 23 14 21 8 19 10 12 13 32 3 26 22 7 9 11 5 28 25 31 27 18 33 6 20 34 16 29 24 
1 2 4 17 30 15 23 14 21 8 19 10 12 13 32 3 26 22 7 9 11 5 28 25 31 27 18 33 6 20 34 16 29 24 
1 2 15 4 17 30 23 14 21 8 19 10 12 13 32 3 26 22 7 9 11 5 28 25 31 27 33 6 20 34 18 16 29 24 
1 2 15 23 14 21 8 19 10 12 13 9 7 22 26 3 32 11 4 17 30 5 28 25 31 27 18 33 6 20 34 16 29 24 
